worker_id,experienced,quality_score,tasks_completed,flagged
W01,1,72.94,189,0
W02,1,76.22,101,0
W03,1,78.21,226,0
W04,1,80.76,357,0
W05,1,70.32,48,0
W06,1,72.34,61,0
W07,1,71.67,298,0
W08,1,73.61,72,0
W09,1,74.16,211,0
W10,1,70.47,322,0
W11,1,75.56,53,0
W12,1,70.02,283,0
W13,1,76.47,133,0
W14,1,71.73,43,0
W15,1,75.66,68,0
W16,1,76.15,246,0
W17,1,74.31,238,0
W18,1,72.73,59,0
W19,1,72.13,147,0
W20,1,87.39,70,0
W21,0,64.64,306,1
W22,0,73.54,241,0
W23,0,70.37,54,0
W24,0,74.61,313,0
W25,0,69.64,87,0
W26,0,69.53,138,0
W27,0,66.44,346,0
W28,0,67.55,345,0
W29,0,63.18,322,1
W30,0,71.69,55,0
W31,0,71.69,319,0
W32,0,73.36,323,0
W33,0,73.28,227,0
W34,0,64.96,49,1
W35,0,60.02,137,1
W36,0,70.96,47,0
W37,0,69.24,309,0
W38,0,65.12,92,0
W39,0,65.32,172,0
W40,0,61.31,238,1
